,Title,Metascore,tomatoMeter,tomatoUserMeter,scaledIMDb,Mean_Rating
30260,Battles of Chief Pontiac,,,,62.42094816427338,62.42094816427338
24832,Princ Bajaja,,,,62.42094816427338,62.42094816427338
22341,Hi-Riders,,,,62.42094816427338,62.42094816427338
24163,Rainbow Boys: The Movie,,,,62.42094816427338,62.42094816427338
11007,Soleil,,,,62.42094816427338,62.42094816427338
35900,Love in Bloom,,,,62.42094816427338,62.42094816427338
920,Kate's New Job,,,,62.42059252228991,62.42059252228991
20752,Hard Feelings,,,,62.42055808495989,62.42055808495989
4954,Cockfight,,,,62.42055808495989,62.42055808495989
23971,Bodigaado Kiba,,,,62.42055808495989,62.42055808495989
